date;marketPrice
2025-02-03;11.3195
2025-02-04;11.4052
2025-02-05;11.4628
2025-02-06;11.4998
2025-02-07;11.3958
2025-02-10;11.474
2025-02-11;11.4966
2025-02-13;11.6011
2025-02-14;11.5956
2025-02-17;11.595
2025-02-18;11.6301
2025-02-19;11.6263
2025-02-20;11.6027
2025-02-21;11.4324
2025-02-24;11.3827
2025-02-25;11.3702
2025-02-26;11.3795
2025-02-27;11.2145
2025-02-28;11.3544
2025-03-03;11.2319
2025-03-04;11.1301
2025-03-05;11.2844
2025-03-06;11.0932
2025-03-07;11.1696
2025-03-10;10.8704
2025-03-11;10.8041
2025-03-12;10.8581
2025-03-13;10.7209
2025-03-14;10.9415
2025-03-17;11.0383
2025-03-18;10.9444
2025-03-19;11.0427
2025-03-20;11.001
2025-03-21;10.9951
2025-03-24;11.1472
2025-03-25;11.1753
2025-03-26;11.0473
2025-03-27;11.016
2025-03-28;10.8265
2025-03-31;10.8468
2025-04-01;10.8807
2025-04-02;10.9557
2025-04-03;10.5104
2025-04-04;9.8667
2025-04-08;9.654
2025-04-09;10.5213
2025-04-10;10.1946
2025-04-11;10.3799
2025-04-16;10.3098
2025-04-17;10.3535
2025-04-18;10.3525
2025-04-21;10.1608
2025-04-22;10.3948
2025-04-23;10.5291
2025-04-24;10.7282
2025-04-25;10.7924
2025-04-28;10.8201
2025-04-29;10.8649
2025-04-30;10.8716
2025-05-02;11.0636
2025-05-06;10.9513
2025-05-07;10.9735
2025-05-08;11.0156
2025-05-09;11.028
2025-05-13;11.36
2025-05-14;11.3603
2025-05-15;11.4221
2025-05-16;11.4882
2025-05-19;11.5089
2025-05-20;11.4984
2025-05-21;11.3458
2025-05-22;11.3356
2025-05-23;11.2958
2025-05-26;11.2924
2025-05-27;11.4873
2025-05-28;11.4123
2025-05-29;11.4539
2025-05-30;11.4511
2025-06-04;11.5662
2025-06-05;11.5155
2025-06-06;11.6107
2025-06-09;11.6142
2025-06-10;11.6555
2025-06-11;11.6277
2025-06-12;11.6774
2025-06-13;11.5422
2025-06-16;11.6344
2025-06-17;11.5338
2025-06-18;11.5359
2025-06-19;11.5389
2025-06-20;11.4935
2025-06-23;11.5804
2025-06-24;11.7016
2025-06-25;11.6789
2025-06-26;11.7785
2025-06-27;11.8438
2025-06-30;11.8909
2025-07-01;11.8731
2025-07-02;11.9202
2025-07-03;11.9825
2025-07-04;11.9826
2025-07-07;11.8922
2025-07-08;11.8966
2025-07-09;11.9759
2025-07-11;11.9293
2025-07-14;11.9471
2025-07-15;11.8805
2025-07-16;11.9162
2025-07-17;11.978
2025-07-18;11.9657
2025-07-21;11.9896
2025-07-22;12.0078
2025-07-23;12.1355
2025-07-24;12.1258
2025-07-25;12.1543
2025-07-29;12.0742
2025-07-30;12.0417
2025-07-31;11.9748
2025-08-01;11.8298
2025-08-04;11.9848
2025-08-05;11.9426
2025-08-06;12.0349
2025-08-07;12.041
2025-08-08;12.129
2025-08-13;12.2673
2025-08-14;12.2549
2025-08-15;12.2639
2025-08-18;12.248
2025-08-19;12.1985
2025-08-20;12.1893
2025-08-21;12.1397
2025-08-22;12.3191
2025-08-25;12.2359
2025-08-26;12.2655
2025-08-27;12.2835
2025-08-28;12.3271
2025-08-29;12.2558
2025-09-01;12.2506
2025-09-02;12.1618
2025-09-03;12.2065
2025-09-04;12.3022
2025-09-05;12.281
2025-09-08;12.3228
2025-09-09;12.3389
2025-09-10;12.3606
2025-09-11;12.4668
2025-09-12;12.4462
2025-09-15;12.5092
2025-09-16;12.4921
2025-09-17;12.4615
2025-09-18;12.5247
2025-09-19;12.5614
2025-09-22;12.6027
2025-09-23;12.5525
2025-09-24;12.5005
2025-09-25;12.4469
2025-09-26;12.5153
2025-09-29;12.5601
2025-09-30;12.6035
2025-10-01;12.6566
2025-10-02;12.6731
2025-10-03;12.698
2025-10-06;12.7379
2025-10-07;12.671
2025-10-08;12.7279
2025-10-09;12.6668
2025-10-10;12.3563
2025-10-14;12.5276
2025-10-15;12.572
2025-10-16;12.5272
2025-10-17;12.5733
2025-10-20;12.6906
2025-10-21;12.662
2025-10-22;12.6024
2025-10-24;12.76
2025-10-27;12.8895
2025-10-28;12.9096
2025-10-29;12.8752
2025-10-30;12.7756
2025-10-31;12.8024
2025-11-03;12.8236
2025-11-04;12.6663
2025-11-05;12.7213
2025-11-06;12.5962
2025-11-07;12.6175
2025-11-10;12.7944
2025-11-11;12.8354
2025-11-12;12.8686
2025-11-13;12.6573
2025-11-14;12.6542
